1 1
2e-05 1381.77 1381.75
2.1e-05 1381.72 1381.69
2.2e-05 1381.66 1381.63
2.3e-05 1381.6 1381.57
2.4e-05 1381.54 1381.51
2.5e-05 1381.48 1381.44
2.6e-05 1381.41 1381.38
2.7e-05 1381.34 1381.3
2.8e-05 1381.27 1381.23
2.9e-05 1381.19 1381.15
3e-05 1381.11 1381.07
3.1e-05 1381.03 1380.99
3.2e-05 1380.95 1380.91
3.3e-05 1380.86 1380.82
3.4e-05 1380.77 1380.73
3.5e-05 1380.68 1380.64
3.6e-05 1380.59 1380.54
3.7e-05 1380.49 1380.45
3.8e-05 1380.39 1380.34
3.9e-05 1380.29 1380.24
4e-05 1380.19 1380.13
4.1e-05 1380.08 1380.03
4.2e-05 1379.97 1379.92
4.3e-05 1379.86 1379.8
4.4e-05 1379.74 1379.69
4.5e-05 1379.63 1379.57
4.6e-05 1379.51 1379.45
4.7e-05 1379.38 1379.32
4.8e-05 1379.26 1379.2
4.9e-05 1379.13 1379.07
